model,title,price,link,authenticity,sell_date,price_numeric,week
Air Jordan 1 Bred 1985,Size 10 - Jordan 1 Retro OG High Shadow !No insoles!,$70.00,https://www.ebay.com/itm/405428475458?_skw=Air+Jordan+1+Bred+1985&epid=14039798996&itmmeta=01JPDA7QMBRJBQFGH22YHCVE4B&hash=item5e656b9642:g:MIAAAOSwXctnY0ac&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1djl%2B5%2Fk%2B4P9HKPPEIwwlr8CeFoq5agTG%2F8ioYR%2F3FATfCz36VK5--Z16xrfikHul3dOb7Y8cD%2B8bLmpLCDLNKi%2Fm8f%2BT3qlAJNP%2BF7GOwSmnIQHuIeQiueWLRW%2FN4hKvmOb5N6trMWPwK%2F9e489OTOWzFPiRd9ePSS8DZal6vCIVO%2F2g%2B5F69KXo71ceWEuqR%2BQYu5u2UC6rk28pN5PxnKuF%2BVnuKP3DvCGmDH81EeU22X0UKVzkCmCO8aE3%2BI3dQ%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,70.0,
Air Jordan 1 Bred 1985,Size 13 - Jordan 1 Retro OG High Patent Bred,$185.00,https://www.ebay.com/itm/335809599122?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPDA7QMBV5BH0E971CC99AXM&hash=item4e2fcfd692:g:jFYAAOSwgNxnnUoy&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1d74YO4ROJbsBK45P5pWmeDhnnRnG5c2bo9datsey0Asq%2F6MDncb6JCkhKTdsGwZ2z03WjdWlHa3EKtsPBNqmyg40%2BcnLCKu1PpN0Cr2K%2BGiV9c%2BRQeuOACThZUKKI83iILJWPi9BHzzuw9Bsrl2DDXN072YTrDS6crl%2BPmUSpQzikg7yopIxS5Tr12HFPic%2Fz4RTg7%2FqGI7LB1KvV%2BVLh%2Ftb%2BUoDJnxyA%2B0qM2Q0qebAFs2qoZ5P5G5EO9YcKumb4%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,185.0,
Air Jordan 1 Bred 1985,Air Jordan 1 High Patent Bred Sz 13,$180.00,https://www.ebay.com/itm/126954882634?_skw=Air+Jordan+1+Bred+1985&epid=4048598250&itmmeta=01JPDA7QMBBJDN5BDQFGMS34T7&hash=item1d8f19c64a:g:75EAAOSwd95nuNBH&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fTHKqydNL7%2Bh4XtToyNRLqfBRNNwEzZPxcTC132cBdEWknG2CCFtvM%2BGlkncOCxquJpJ%2FbK1DG5Zeslu%2B4u8fJL9M2Y1fvVEjMonvDnoibLEmZoxWtawTyZPC6uF3CJr9NQF1LUZQZKzmJydOVp93mt37HJsALRlTTnM0H58jRmDg%2BuAtExfAuE3Nu38llv5o1urXxaKe6y0HzY6GSJLpd3P38ezaqntnFTqZRQYZGXch3BbojHHJvgdb0zDLHmC2Fjw4JNeAlY6vsnh%2BP92rVPna3u6ZrH2v0eHzgsZQm%2Fg%3D%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,180.0,
Air Jordan 1 Bred 1985,Nike Air Jordan 1 Retro High 1985 OG ‘BRED’ custom services;  ‘Varsity Red’,$149.00,https://www.ebay.com/itm/394333987500?_skw=Air+Jordan+1+Bred+1985&epid=9039840572&itmmeta=01JPDA7QMBTJDPHSSGMQ770A7B&hash=item5bd02322ac:g:xSYAAOSwczljckYx&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1d0wTBDaiAr9LlQNgijsRi9vG0k9oO%2FQ8gigwOUZgcGe%2FJ1CQfbZUUoI1D%2BspNVPZRoo4fEer20X7ZXRt6Wi%2FNi7anyqUHKd5bCEP2uuRA8YsAilexfaySh%2Fvxuz6NMlTS5MWRun11ga5fTeriJLesn6oqNSWX9sI%2BfL3iBnUofl9Oyzchk80fQIW1XEEXiHoVmtTlzqxMJDs98HHr9%2F0EeoOIlV4q4X7%2FfvrRZQtX5PGx7R0O%2BOiA9U6cD4TpqKQI%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,149.0,
Air Jordan 1 Bred 1985,🚨Jordan 1 Retro High 85 Varsity Red Sz 12 Never Tried On Ships Same Day 🔥,$305.00,https://www.ebay.com/itm/376050076177?_skw=Air+Jordan+1+Bred+1985&epid=9039840572&itmmeta=01JPDA7QMB5DY6KWT6NMS0X1JS&hash=item578e54ca11:g:nVIAAeSw7gVnyPY9&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1clm5CAl7vrlRMJ68PoI9Cr2i0HrllF7n8fpcaojBGOzxiqon7SpTj03YU3301IkJS5l8eQt4X%2B%2BmrL9SartWXOmVyvWSjo8HSplcet9%2Be3rvy7jJs9gtarCMryIpu7r2UeTbs1AFy3CL2L1zXJsdPKbqHmsvwVSmuAkQ2fa4iP18C%2F2w2rcAIv%2FLTvYi1iTVn4nJeQ2bHFkB15puA0YxO5Y8ryF41yWfQq9ZI22oo2P2Fh4ucTf5X7s0NaB5bH9tU%3D%7Ctkp%3ABk9SR7b6nqqzZQ,,,305.0,
Air Jordan 1 Bred 1985,Size 11 - Air Jordan 1 Retro 1994 Bred,$500.00,https://www.ebay.com/itm/306133574927?_skw=Air+Jordan+1+Bred+1985&epid=2310848180&itmmeta=01JPDA7QMBCGZZ2ZMJDTNT4G4K&hash=item4746fba50f:g:MHMAAOSwYKpnufRF&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1esdm3A0nbfuRKeNT7vT0FVnctFZNGg0RaY%2BQelOWPtbiFMPfYjgmGP0d95hJpNbzeVJGOv7nHCMkXbX6sc5WHuINoWl6wM%2Ffq89%2BM%2F%2BAdD%2FieQadcm7cfjhIQDSBKEtkB2iCX29BKdJzRYvZ0rn0HghnyUYGdEg565fDs8OgSQJTbN5Z7zqsti3VwsAtcUNNX6iiBpSYyB7ih8gfGHOAYPjGb1mpyNw2jpM1bk9eo2XAIp161f%2FloggGmhm6V0D%2BD2QSi%2FGA7WP1QOM3EDq60SQ3OgMa7rS0ASMRPUsqV%2Feg%3D%3D%7Ctkp%3ABk9SR7j6nqqzZQ,,,500.0,
Air Jordan 1 Bred 1985,Air Jordan 1 Bred Banned 2016 Size 10,$185.00,https://www.ebay.com/itm/296976350531?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPDA7QMB058FTC0QCNDJQBJ3&hash=item45252b7d43:g:n~QAAOSw~NdnnC0W&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dnGHxi7NNefmKMjAQzOPWRpOlYDNr%2BSxdE5d%2FGZtfd8AeHx8EYxqDVkPSrO2vrfgoasZUby3i5h3fcC5SdVnRCoU6rBRXIBf4WtFkkoFQNOpTXrmwVCihSY3J79iRCG8BbH52dcuxHPUDhbOQhlVdTvoCEHcgd3wz6IVe3eV4PGj2MqL4Zg1ydTxUNahtxqlQ1lWJ0eeUlMcjK%2F97tmH%2FcxZSHpCRQbG%2Bk4vbZRQ5lx36Jj3FTmA82aAzaOHgHMEY%3D%7Ctkp%3ABk9SR7j6nqqzZQ,,,185.0,
Air Jordan 1 Bred 1985,"Size 10 - Jordan 1 Retro OG High Banned, Bred",$295.00,https://www.ebay.com/itm/316441978955?_skw=Air+Jordan+1+Bred+1985&epid=8052280627&itmmeta=01JPDA7QMBV727K2VQ248XQ2W6&hash=item49ad69684b:g:WTwAAOSwv-Vnx57R&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fhil0O32Iv%2BbVBMQXMyV83utrTbQVyAAdE9k%2BtXb8hzaL2Fmr48Ll6Js8NwVYTUwvDlIJ9kugPkpN1nmJCDJ%2BgY4TBHZdzeZ6d8bguXkIhZWHTm%2FxOKRVQvWJZUDEwmIX6L525lgBiS5%2FYh2poWeV4O9%2BC6vyeMJyKSFe9TBBcLFH43yNeB5adQdc9kGD6S5w8COkpwSbqL%2B9ypSnbYVB0Rpcc0%2BHKhfOLMhCFiZiAeDZ4bVwHKoOr3g2W5MWHImA%3D%7Ctkp%3ABk9SR7j6nqqzZQ,,,295.0,
Air Jordan 1 Bred 1985,Size 12 - Jordan 1 Retro High 85 Varsity Red 2020,$167.50,https://www.ebay.com/itm/167344403529?_skw=Air+Jordan+1+Bred+1985&epid=9039840572&itmmeta=01JPDA7QMBYY7CT21YWN8RCPWV&hash=item26f680f449:g:jrsAAeSwVaVnwK9F&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eHlYWvHoXpL%2BlDqHNEEV3IhW%2FQuUu5DO7jYWfw3o3mo8AU3uQ089WTL%2F1wRYi9XMjMez6PzIyILHQxrrntdfMUnjkNK2fNTeb5ioC1fTq%2Bk46FxqzlHJG7EbHBHeI7tAVpjBh4cmmYCLMpWeGexLlAcv4QXGp7lqZNwTb6nJDftn95cKOb1QSl%2FIjqYsoOp7pDUxjBMxJC4Huc4r0u9qQsvSbZ54CW%2BeT3V9kiFxEns8wtEg4CUrUV4tttQW9vaQjUZ53KefTmTLgE2FK0eIOAHb5CUKrDRHsuH04jjqDfRw%3D%3D%7Ctkp%3ABk9SR7j6nqqzZQ,,,167.5,
Air Jordan 1 Bred 1985,Nike Air Jordan 1 Mid Banned Black Red White 554724-074 Mens and GS New,$69.99to$169.99,https://www.ebay.com/itm/234342309373?_skw=Air+Jordan+1+Bred+1985&var=533923583325&epid=5046954101&itmmeta=01JPDA7QMC6KEFANZCJBV6202P&hash=item368fe3ddfd:g:mw4AAOSw-2JhvrjU&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1esnmFZXzCuYvqGFGY6dLiCiLYD0Ha21uqNRiMmi%2FRIvjTcEvIVUWe9Zro4pHvkYcfnHTy%2B2S0AyhVGh0NXz9eaB25OeNd8Ykg0FfrxU%2FxswpvLib8BYj6MxRSxRzEaLgr38nPSbCu8YIStrrw4ngiBZ7NCvvWJYV6QRsGAaguAK%2FhPL%2BahDjFRlXLT%2BTNB6%2FekTbPwx1ROx6PEWE5fSkm1cYWGu1aHhPPN0jzyUa7o2RncKOIcdCDLZPlllhyiOGWAA09Dd4Y7LyrP%2BimVEIpskRsdWL76o7j%2FGUnPiHuxsw%3D%3D%7Ctkp%3ABk9SR7j6nqqzZQ,,,69.99,
